Coach,From,To,Birth Date,College,Team ,Active
Rick Adelman,1989,2014,June 16 1946,Loyola Marymount University,Golden State Warriors,0
Richie Adubato,1980,1997,November 23 1937,,Phoenix Suns,0
Danny Ainge,1997,2000,March 17 1959,Brigham Young University,San Antonio Spurs,0
Stan Albeck,1971,1986,May 17 1931,Bradley University,Minnesota Timberwolves,0
LaDell Andersen,1972,1973,October 25 1929,Utah State University,Orlando Magic,0
Jack Ankerson,1976,1976,March 1 1942,Ripon College,Phoenix Suns,0
Curly Armstrong,1949,1949,November 1 1918,Indiana University,New York Knicks,0
Kenny Atkinson,2017,2019,June 2 1967,University of Richmond,Brooklyn Nets,1
Al Attles*,1970,1983,November 7 1936,North Carolina Agricultural and Technical State University,Toronto Raptors,0
Red Auerbach*,1947,1966,September 20 1917,George Washington University,Utah Jazz,0
Randy Ayers,2004,2004,April 16 1956,Miami University,Chicago Bulls,0
Johnny Bach,1980,1986,July 10 1924,Fordham University,Phoenix Suns,0
Ed Badger,1977,1978,November 5 1932,University of Iowa,Sacramento Kings,0
Tony Barone,2007,2007,July 20 1946,,Houston Rockets,0
Tom Barrise,2010,2010,,,Dallas Mavericks,0
Bob Bass,1968,1992,January 28 1929,Oklahoma Baptist University,Sacramento Kings,0
Elgin Baylor*,1975,1979,September 16 1934,Seattle University,Los Angeles Lakers,0
Butch Beard,1995,1996,May 4 1947,University of Louisville,Phoenix Suns,0
Zelmo Beaty*,1976,1976,October 25 1939,Prairie View A&M University,Charlotte Hornets,0
Clair Bee*,1953,1954,March 3 1896,Waynesburg College,Toronto Raptors,0
Joe Belmont,1970,1971,July 12 1934,Duke University,Phoenix Suns,0
Carl Bennett,1949,1949,December 7 1915,,Phoenix Suns,0
Bill Berry,2002,2002,,Michigan State University,Golden State Warriors,0
Bill Bertka,1994,1999,August 8 1927,Kent State University,Denver Nuggets,0
Al Bianchi,1968,1976,March 26 1932,Bowling Green State University,Memphis Grizzlies,0
Bernie Bickerstaff,1986,2013,February 11 1944,University of San Diego,Oklahoma City Thunder,0
J.B. Bickerstaff,2016,2019,March 10 1979,University of Minnesota,Memphis Grizzlies,1
Mark Binstein,1972,1972,,United States Military Academy,Brooklyn Nets,0
Paul Birch,1947,1954,January 10 1910,Duquesne University,Oklahoma City Thunder,0
Larry Bird*,1998,2000,December 7 1956,Indiana State University,Phoenix Suns,0
Bill Blair,1983,1996,March 17 1942,Virginia Military Institute,Cleveland Cavaliers,0
Bill Blakeley,1971,1971,June 13 1934,,Denver Nuggets,0
David Blatt,2015,2016,May 22 1959,Princeton University,Philadelphia 76ers,0
Harold Blitman,1970,1971,February 12 1930,West Chester University of Pennsylvania,New Orleans Pelicans,0
James Borrego,2015,2019,,University of San Diego,Charlotte Hornets,1
Vince Boryla,1956,1958,March 11 1927,University of Denver,Los Angeles Lakers,0
Jeff Bower,2010,2010,April 26 1961,,Philadelphia 76ers,0
Jim Boylan,2008,2013,,Marquette University,Minnesota Timberwolves,0
Jim Boylen,2019,2019,,,Chicago Bulls,1
Carl Braun*,1960,1961,September 25 1927,Colgate University,Utah Jazz,0
Al Brightman,1968,1968,September 22 1923,University of Charleston,Portland Trail Blazers,0
Allan Bristow,1992,1996,August 23 1951,Virginia Polytechnic Institute and State University,Phoenix Suns,0
Scott Brooks,2009,2019,July 31 1965,University of California Irvine,Washington Wizards,1
Jim Brovelli,1999,1999,April 15 1942,University of San Francisco,Atlanta Hawks,0
Brett Brown,2014,2019,February 16 1961,Boston University,Philadelphia 76ers,1
Dave Brown,1973,1973,,University of Wisconsin,Los Angeles Clippers,0
Herb Brown,1976,1978,March 14 1936,University of Vermont,New York Knicks,0
Hubie Brown*,1975,2005,September 25 1933,Niagara University,Memphis Grizzlies,0
Larry Brown*,1973,2011,September 14 1940,University of North Carolina,Boston Celtics,0
Mike Brown,2006,2014,March 5 1970,University of San Diego,Minnesota Timberwolves,0
Tony Brown,2016,2016,July 29 1960,University of Arkansas,Charlotte Hornets,0
Philip Brownstein,1949,1950,May 17 1906,University of Illinois at Urbana-Champaign,Milwaukee Bucks,0
Quinn Buckner,1994,1994,August 20 1954,Indiana University,Toronto Raptors,0
Bucky Buckwalter,1973,1975,November 22 1933,,Boston Celtics,0
Mike Budenholzer,2014,2019,August 6 1969,Pomona College,Milwaukee Bucks,1
Walt Budko,1951,1951,July 30 1925,Columbia University,Cleveland Cavaliers,0
Donnie Butcher,1967,1969,February 8 1936,Pikeville College,Phoenix Suns,0
Jeff Bzdelik,2003,2005,December 1 1952,University of Illinois at Chicago,Los Angeles Clippers,0
John Calipari*,1997,1999,February 10 1959,Clarion University of Pennsylvania,Brooklyn Nets,0
Mack Calvin,1976,1992,July 27 1947,University of Southern California,Golden State Warriors,0
Kaleb Canales,2012,2012,,University of Texas at Arlington,Denver Nuggets,0
P.J. Carlesimo,1995,2013,May 30 1949,Fordham University,Portland Trail Blazers,0
Rick Carlisle,2002,2019,October 27 1959,University of Virginia,Dallas Mavericks,1
Lou Carnesecca*,1971,1973,,,Houston Rockets,0
M.L. Carr,1996,1997,January 9 1951,Guilford College,Memphis Grizzlies,0
John Carroll,2004,2004,,,Portland Trail Blazers,0
Butch Carter,1998,2000,June 11 1958,Indiana University,Brooklyn Nets,0
Fred Carter,1993,1994,February 14 1945,Mount St. Mary's University,Sacramento Kings,0
Bill Cartwright,2002,2004,July 30 1957,University of San Francisco,Oklahoma City Thunder,0
Don Casey,1989,2000,,,Sacramento Kings,0
Dwane Casey,2006,2019,April 17 1957,University of Kentucky,Detroit Pistons,1
John Castellani,1960,1960,,,New York Knicks,0
Vince Cazzetta,1968,1968,,,Milwaukee Bucks,0
Al Cervi*,1950,1959,February 12 1917,,Oklahoma City Thunder,0
Wilt Chamberlain*,1974,1974,August 21 1936,University of Kansas,Toronto Raptors,0
Don Chaney,1985,2004,March 22 1946,University of Houston,Orlando Magic,0
Maurice Cheeks*,2002,2014,September 8 1956,West Texas A&M University,Brooklyn Nets,0
John Clark,1970,1970,,,Charlotte Hornets,0
Jim Cleamons,1997,1998,September 13 1949,Ohio State University,Houston Rockets,0
Roy Clifford,1947,1947,,,Atlanta Hawks,0
Steve Clifford,2014,2019,September 17 1961,University of Maine at Farmington,Orlando Magic,1
Neil Cohalan,1947,1947,,,Oklahoma City Thunder,0
Jerry Colangelo*,1970,1973,November 20 1939,University of Illinois at Urbana-Champaign,Los Angeles Clippers,0
Doug Collins,1987,2013,July 28 1951,Illinois State University,Charlotte Hornets,0
Michael Cooper,2005,2005,April 15 1956,University of New Mexico,Minnesota Timberwolves,0
Tyrone Corbin,2011,2015,December 31 1962,DePaul University,Golden State Warriors,0
Larry Costello,1969,1979,July 2 1931,Niagara University,Los Angeles Lakers,0
Bob Cousy*,1970,1974,August 9 1928,College of the Holy Cross,New Orleans Pelicans,0
Dave Cowens*,1979,2002,October 25 1948,Florida State University,Golden State Warriors,0
Billy Cunningham*,1978,1985,June 3 1943,University of North Carolina,San Antonio Spurs,0
Michael Curry,2009,2009,August 22 1968,Georgia Southern University,Milwaukee Bucks,0
Glenn Curtis,1947,1947,,,Toronto Raptors,0
Mike D'Antoni,1999,2019,May 8 1951,Marshall University,Houston Rockets,1
