Yr,Series,,,Team,W,,Team,W
2018,Eastern Conf First Round,Apr 14 - Apr 27 2018,Toronto Raptors,4,Washington Wizards,2,,
2018,Eastern Conf First Round,Apr 15 - Apr 28 2018,Boston Celtics,4,Milwaukee Bucks,3,,
2018,Eastern Conf First Round,Apr 14 - Apr 24 2018,Philadelphia 76ers,4,Miami Heat,1,,
2018,Eastern Conf First Round,Apr 15 - Apr 29 2018,Cleveland Cavaliers,4,Indiana Pacers,3,,
2018,Western Conf First Round,Apr 15 - Apr 25 2018,Houston Rockets,4,Minnesota Timberwolves,1,,
2018,Western Conf First Round,Apr 14 - Apr 24 2018,Golden State Warriors,4,San Antonio Spurs,1,,
2018,Western Conf First Round,Apr 14 - Apr 21 2018,New Orleans Pelicans,4,Portland Trail Blazers,0,,
2018,Western Conf First Round,Apr 15 - Apr 27 2018,Utah Jazz,4,Oklahoma City Thunder,2,,
2018,Western Conf Semifinals,Apr 28 - May 8 2018,Golden State Warriors,4,New Orleans Pelicans,1,,
2018,Western Conf Semifinals,Apr 29 - May 8 2018,Houston Rockets,4,Utah Jazz,1,,
2018,Eastern Conf Semifinals,Apr 30 - May 9 2018,Boston Celtics,4,Philadelphia 76ers,1,,
2018,Eastern Conf Semifinals,May 1 - May 7 2018,Cleveland Cavaliers,4,Toronto Raptors,0,,
2018,Eastern Conf Finals,May 13 - May 27 2018,Cleveland Cavaliers,4,Boston Celtics,3,,
2018,Western Conf Finals,May 14 - May 28 2018,Golden State Warriors,4,Houston Rockets,3,,
2018,Finals,May 31 - Jun 8 2018,Golden State Warriors,4,Cleveland Cavaliers,0,,
2017,Eastern Conf First Round,Apr 16 - Apr 28 2017,Boston Celtics,4,Chicago Bulls,2,,
2017,Eastern Conf First Round,Apr 15 - Apr 23 2017,Cleveland Cavaliers,4,Indiana Pacers,0,,
2017,Eastern Conf First Round,Apr 15 - Apr 27 2017,Toronto Raptors,4,Milwaukee Bucks,2,,
2017,Eastern Conf First Round,Apr 16 - Apr 28 2017,Washington Wizards,4,Atlanta Hawks,2,,
2017,Western Conf First Round,Apr 16 - Apr 24 2017,Golden State Warriors,4,Portland Trail Blazers,0,,
